,isbn,name,author,publisher,date
0,9789866745034,時間箭,馬丁.艾米斯(Martin Amis)作; 何致和譯,寶瓶文化,96/08
1,9789579542999,沙丘= Dune,"法蘭克.赫伯特(Frank Herbert)著; 顧備, 聞若婷譯",大家,110/09
2,9789865562144,沙丘: 神帝= God emperor of dune,法蘭克.赫伯特(Frank Herbert)著; 劉未央譯,大家,110/09
3,9789865562137,沙丘: 異端= Heretics of dune,"法蘭克.赫伯特(Frank Herbert)著; 魏晉, 聞若婷譯",大家,110/09
4,9789865562205,沙丘: 聖殿= Chapterhouse: dune,"法蘭克.赫伯特(Frank Herbert)著; 張建光, 甄春雨譯",大家,110/09
5,9789863840053,極限. 上,法蘭克.薛慶(Frank Schatzing)作; 闕旭玲譯,野人文化,103/12
6,9789863840121,極限. 第二部,法蘭克.薛慶(Frank Schatzing)作; 闕旭玲譯,野人文化,104/01
7,9789863840367,極限. 下,法蘭克.薛慶(Frank Schatzing)作; 闕旭玲譯,野人文化,104/02
8,9789863618447,"厭世機器人. I, 系統異常自救指南",瑪莎.威爾斯(Martha Wells)著; 翁雅如翻譯,高寶國際,109/07
9,9789863619079,"厭世機器人. II, 太空探索逃生手冊",瑪莎.威爾斯(Martha Wells)著; 翁雅如翻譯,高寶國際,109/11
10,9789865064709,"厭世機器人. III, 外星入侵應變對策",瑪莎.威爾斯(Martha Wells)著; 翁雅如翻譯,高寶國際,111/09
11,9789866807060,群,"法蘭克.薛慶(Frank Schatzing)作; 顏徽玲, 朱劉華譯",野人文化,96/09
12,9789866807077,群,"法蘭克.薛慶(Frank Schatzing)作; 顏徽玲, 朱劉華譯",野人文化,96/09
13,9789865880965,亞特蘭提斯.瘟疫,傑瑞.李鐸(A.G. Riddle)作; 李建興譯,奇幻基地,104/05
14,9789865880972,亞特蘭提斯.新世界,傑瑞.李鐸(A.G. Riddle)作; 李建興譯,奇幻基地,104/06
15,9789868010901,地海巫師,娥蘇拉.勒瑰恩著; 蔡美玲譯,共和國文化,91/02
16,9789868010918,地海古墓,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 蔡美玲譯,共和國文化,91/03
17,9789868010925,地海彼岸,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 蔡美玲譯,共和國文化,91/03
18,9789572801208,地海孤雛,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 段宗忱譯,繆思,91/09
19,9789572801215,地海故事集,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 段宗忱譯,繆思,91/10
20,9789572801222,地海奇風,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 段宗忱譯,繆思,91/12
21,9789574694327,綠火星,金.史丹利.羅賓遜(Kim Stanley Robinson)著; 藍目路譯,臉譜,90/05
22,9789574695232,藍火星,金.史丹利.羅賓遜(Kim Stanley Robinson)著; 蔡梵谷譯,臉譜,90/07
23,9789861209166,時間漩渦,威爾森(Robert Charles Wilson)著; 龐元媛譯,貓頭鷹,100/08
24,9789866651298,時間軸,威爾森(Robert Charles Wilson)著; 張琰譯,貓頭鷹,97/08
25,9789867001665,時間迴旋,威爾森(Robert Charles Wilson)著; 陳宗琛譯,貓頭鷹,96/08
26,9789570916829,關鍵下一秒,菲利普狄克(Philip K. Dick)著; 杜可名譯,正中,96/05
27,9789866702112,祖國,羅伯特.哈里斯(Robert Harris)著; 許瓊瑩譯,如果,97/05
28,9789866745034,時間箭,馬丁.艾米斯(Martin Amis)作; 何致和譯,寶瓶文化,96/08
29,9789865880583,太和計畫,馬克.艾伯特(Mark Alpert)著; 陳岳辰譯,奇幻基地,103/01
30,9789869356213,幽靈艦隊: 中美決戰2026,"彼得.辛格(P. W. Singer), 奧格斯.柯爾(August Cole)合著; 譚天譯",八旗文化,105/11
31,9789869683302,龍鱗焰火,喬.希爾(Joe Hill)作; 周翰廷譯,奇幻基地,107/09
32,9789869683319,龍鱗焰火,喬.希爾(Joe Hill)作; 周翰廷譯,奇幻基地,107/09
33,9789573322597,火星紀事,雷.布萊伯利(Ray Bradbury)作; 林翰昌譯,皇冠,95/08
34,9789573057758,阿伊朵,"威廉.吉布森(William Gibson)作; 李家沂, 曹志漣合譯",開元書印,92/12
35,9789862720912,閃憶殺手,丹.西蒙斯著; 王寶翔譯,商周,101/01
36,9789869170987,人生複本,布萊克.克勞奇(Blake Crouch)著; 顏湘如譯,寂寞,106/04
37,9789868166400,記憶裂痕,菲利普狄克(Philip K. Dick)著; 周慧萍譯,墨文堂文化,94/10
38,9789868040212,關鍵報告,菲利普.狄克(Philip K. Dick)作; 嚴韻譯,一方,91/07
39,9789577453488,寂寞的七號星球,布萊伯利(Ray Bradbury)文; 張琰譯,遊目族文化,89/08
40,9789866571022,時光閃電,荷西.卡洛斯.索摩薩(Jose Carlos Somoza)著; 葉淑吟譯,商周,97/09
41,9789866712142,非理性時代: 牛頓加農砲,葛雷克.凱斯(Gregory Keyes)作; 蔣鏡明譯,奇幻基地,97/04
42,9789866712418,非理性時代: 天使微積分,葛雷克.凱斯(Gregory Keyes)作; 陳岳辰譯,奇幻基地,97/11
43,9789862621097,WWW.甦醒,羅伯特.J.索耶(Robert J. Sawyer)著; 吳妍儀譯,貓頭鷹,101/12
44,9789866473203,光之逝,喬治.馬汀(George R. R. Martin)著; 宮中桂譯,蓋亞文化,99/01
45,9789868804906,神經喚術士,威廉.吉布森作; 李家沂譯,開元書印,101/02
46,9789862620144,記憶之塵: 朱利安戰記,威爾森(Robert Charles Wilson)著; 龐元媛譯,貓頭鷹,99/05
47,9789862161272,時光旅人,"馬雷特(Ronald L. Mallett), 韓德森(Bruce Henderson)著; 陳可崗譯",天下遠見,97/05
48,9789865723392,希特勒回來了,帖木兒.魏穆斯(Timur Vermes)著; 管中琪譯,野人文化,103/06
49,9789861771762,曼谷的發條女孩,保羅.巴奇加盧比(Paolo Bacigalupi)著; 王寶翔譯,晨星,100/07
