,isbn,name,author,publisher,date,cover,place
0,9789866745034,時間箭,馬丁.艾米斯(Martin Amis)作; 何致和譯,寶瓶文化,96/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6RGMzhr7TY1JAFXfNW8piYIj8OIbPjMEqLw&s,大書櫃上
1,9789579542999,沙丘= Dune,"法蘭克.赫伯特(Frank Herbert)著; 顧備, 聞若婷譯",大家,110/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWoCzSlggqadqhScxdFg0C5Zy8Jc5U6Brnew&s,西洋套書
2,9789865562144,沙丘: 神帝= God emperor of dune,法蘭克.赫伯特(Frank Herbert)著; 劉未央譯,大家,110/09,https://www.wunanbooks.com.tw/NewPhoto/978/986/556/214/4/B_9789865562144.jpg,西洋套書
3,9789865562137,沙丘: 異端= Heretics of dune,"法蘭克.赫伯特(Frank Herbert)著; 魏晉, 聞若婷譯",大家,110/09,https://cdnec.sanmin.com.tw/product_images/986/986556213.jpg,西洋套書
4,9789865562205,沙丘: 聖殿= Chapterhouse: dune,"法蘭克.赫伯特(Frank Herbert)著; 張建光, 甄春雨譯",大家,110/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTCL8MdmExjcHds0Ku_ZxItpXCRNFsNd2Unpw&s,西洋套書
5,9789863840053,極限. 上,法蘭克.薛慶(Frank Schatzing)作; 闕旭玲譯,野人文化,103/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ15sRxQUFbz9L17lCZPejnsPqm2hKpNByGNQ&s,西洋套書
6,9789863840121,極限. 中,法蘭克.薛慶(Frank Schatzing)作; 闕旭玲譯,野人文化,104/01,https://www.bookrep.com.tw/sites/default/files/products/img/141966155817641_middle.jpg,西洋套書
7,9789863840367,極限. 下,法蘭克.薛慶(Frank Schatzing)作; 闕旭玲譯,野人文化,104/02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXVsmW2AbCpFaE_tqKdUaP40O68MUr-xTVdQ&s,西洋套書
8,9789863618447,"厭世機器人. I, 系統異常自救指南",瑪莎.威爾斯(Martha Wells)著; 翁雅如翻譯,高寶國際,109/07,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREBOdZfikzQ8VfJwlKQQMm543w0KfOsbxQow&s,西洋套書
9,9789863619079,"厭世機器人. II, 太空探索逃生手冊",瑪莎.威爾斯(Martha Wells)著; 翁雅如翻譯,高寶國際,109/11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSsCS-Yq66zFnV7uD3cKaVM5pEqcOkhixs3SA&s,西洋套書
10,9789865064709,"厭世機器人. III, 外星入侵應變對策",瑪莎.威爾斯(Martha Wells)著; 翁雅如翻譯,高寶國際,111/09,https://cdnec.sanmin.com.tw/product_images/986/986506470.jpg,西洋套書
11,9789866807060,群(上),"法蘭克.薛慶(Frank Schatzing)作; 顏徽玲, 朱劉華譯",野人文化,96/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRc_pAkwjxDBO57h3WXbNLDEaFlhBfDDtyjCA&s,西洋套書
12,9789866807077,群(下),"法蘭克.薛慶(Frank Schatzing)作; 顏徽玲, 朱劉華譯",野人文化,96/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0JZMYwZHGZiujZURJpFIYbu2T7giryyn4kA&s,西洋套書
13,9789865880965,亞特蘭提斯.瘟疫,傑瑞.李鐸(A.G. Riddle)作; 李建興譯,奇幻基地,104/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRPz3TlPLY5pLShU_im0av_JhVmb8hkOgevhg&s,西洋套書
14,9789865880972,亞特蘭提斯.新世界,傑瑞.李鐸(A.G. Riddle)作; 李建興譯,奇幻基地,104/06,https://s.eslite.com/Upload/Product/201506/o/635702131289586250.jpg,西洋套書
15,9789868010901,地海巫師,娥蘇拉.勒瑰恩著; 蔡美玲譯,共和國文化,91/02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2sqvPaFfJIhUDiCfwT3oHx7jeWvPzlhP9FQ&s,西洋套書
16,9789868010918,地海古墓,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 蔡美玲譯,共和國文化,91/03,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/018/61/0010186173.jpg&v=3c7d4211k&w=375&h=375,西洋套書
17,9789868010925,地海彼岸,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 蔡美玲譯,共和國文化,91/03,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/093/16/0010931619.jpg&v=62d92ac8k&w=375&h=375,西洋套書
18,9789572801208,地海孤雛,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 段宗忱譯,繆思,91/09,https://down-tw.img.susercontent.com/file/tw-11134207-7r98r-lukofxiozx6zb6,西洋套書
19,9789572801215,地海故事集,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 段宗忱譯,繆思,91/10,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSf2GA3IN5aZ19MaQC_Pl_n77pdNX7X85-Q9A&s,西洋套書
20,9789572801222,地海奇風,娥蘇拉.勒瑰恩(Ursula K. Le Guin)著; 段宗忱譯,繆思,91/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdiwCpDdviSlvyinE4bc_7rPMzw1sju3PInw&s,西洋套書
21,9789574694327,綠火星,金.史丹利.羅賓遜(Kim Stanley Robinson)著; 藍目路譯,臉譜,90/05,https://s.eslite.com/upload/product/o/2611259506007/ec71758.jpg,西洋套書
22,9789574695232,藍火星,金.史丹利.羅賓遜(Kim Stanley Robinson)著; 蔡梵谷譯,臉譜,90/07,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnngrhd9ME5kDmBq0VDXqUZy1fgS3QK_i0rw&s,西洋套書
23,9789861209166,時間漩渦,威爾森(Robert Charles Wilson)著; 龐元媛譯,貓頭鷹,100/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8SwyhPuEpad_u3UiIJFEtKRLGEcrAD6RGZw&s,西洋套書
24,9789866651298,時間軸,威爾森(Robert Charles Wilson)著; 張琰譯,貓頭鷹,97/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSV9vbOP0GYUAa4z-9mxII-IYTqhamR1M0HQQ&s,西洋套書
25,9789867001665,時間迴旋,威爾森(Robert Charles Wilson)著; 陳宗琛譯,貓頭鷹,96/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnTHqborQtQjF7M3qM7RBMVrETnSXVQjNumQ&s,西洋套書
26,9789570916829,關鍵下一秒,菲利普狄克(Philip K. Dick)著; 杜可名譯,正中,96/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQice4MophfpYbq0XSUBMUfafOpbzpUHDVHPA&s,大書櫃上
27,9789866702112,祖國,羅伯特.哈里斯(Robert Harris)著; 許瓊瑩譯,如果,97/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcDxu06tHSQW68tGMzJu8GwctG4vnvV8zm7g&s,大書櫃上
28,9789866745034,時間箭,馬丁.艾米斯(Martin Amis)作; 何致和譯,寶瓶文化,96/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6RGMzhr7TY1JAFXfNW8piYIj8OIbPjMEqLw&s,大書櫃上
29,9789865880583,太和計畫,馬克.艾伯特(Mark Alpert)著; 陳岳辰譯,奇幻基地,103/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ24zPgDmlmOyL8tdOhvR4aGyVSW63k05tZpA&s,大書櫃上
30,9789869356213,幽靈艦隊: 中美決戰2026,"彼得.辛格(P. W. Singer), 奧格斯.柯爾(August Cole)合著; 譚天譯",八旗文化,105/11,https://s.eslite.com/upload/product/o/2681386120001/614212.jpg,大書櫃上
31,9789869683302,龍鱗焰火(上),喬.希爾(Joe Hill)作; 周翰廷譯,奇幻基地,107/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNMLb2Oq_ThimKSDF0i0tjvWE7of8LdsYV0A&s,西洋套書
32,9789869683319,龍鱗焰火(下),喬.希爾(Joe Hill)作; 周翰廷譯,奇幻基地,107/09,https://www.wunanbooks.com.tw/NewPhoto/978/986/968/331/9/B_9789869683319.jpg,西洋套書
33,9789573322597,火星紀事,雷.布萊伯利(Ray Bradbury)作; 林翰昌譯,皇冠,95/08,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2yW9PtW8a2USNamYDHsdacAC9JsBw2R2IMw&s,西洋套書
34,9789573057758,阿伊朵,"威廉.吉布森(William Gibson)作; 李家沂, 曹志漣合譯",開元書印,92/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjHe37BM3vMA9QVs-Re3YVGUsvrhSCeahv1Q&s,大書櫃上
35,9789862720912,閃憶殺手,丹.西蒙斯著; 王寶翔譯,商周,101/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr8mClGgVA1oTSnH9WxUfS-nkdWFvfzMthnA&s,大書櫃上
36,9789869170987,人生複本,布萊克.克勞奇(Blake Crouch)著; 顏湘如譯,寂寞,106/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnEZl11aJX5jjXhvjJBLzYHX_yXBOoB1O5dg&s,大書櫃上
37,9789868166400,記憶裂痕,菲利普狄克(Philip K. Dick)著; 周慧萍譯,墨文堂文化,94/10,https://shopping.line-scdn.net/0hMItei7UxEmZJHAblM2RtMRtBDhchaktxNiQIRD5ZUgQwKVBgcHhfVGQaHFJlLlw4Ii1cUGxMGQJke1c0JS5Vbm0dS1BsLlU4dnJUBG8cCVZlL1Q4IXoK/w360,大書櫃上
38,9789868040212,關鍵報告,菲利普.狄克(Philip K. Dick)作; 嚴韻譯,一方,91/07,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwNLXpU4ubRbSypXaQZvu6Al3RY6fMvGvQ6w&s,大書櫃上
39,9789577453488,寂寞的七號星球,布萊伯利(Ray Bradbury)文; 張琰譯,遊目族文化,89/08,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/099/46/0010994692_bc_01.jpg&v=668bce71k&w=375&h=375,大書櫃上
40,9789866571022,時光閃電,荷西.卡洛斯.索摩薩(Jose Carlos Somoza)著; 葉淑吟譯,商周,97/09,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRIk6aNtsGGwtM4C4nsv3pTTTmnekmts_0Djw&s,大書櫃上
41,9789866712142,非理性時代: 牛頓加農砲,葛雷克.凱斯(Gregory Keyes)作; 蔣鏡明譯,奇幻基地,97/04,https://cdnec.sanmin.com.tw/product_images/986/986671214.jpg,西洋套書
42,9789866712418,非理性時代: 天使微積分,葛雷克.凱斯(Gregory Keyes)作; 陳岳辰譯,奇幻基地,97/11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSkqvjb216mcrC1xB5V9kT-DCn5r3eUz-2Yug&s,西洋套書
43,9789862621097,WWW.甦醒,羅伯特.J.索耶(Robert J. Sawyer)著; 吳妍儀譯,貓頭鷹,101/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKY__uuyM0kPeRqIpBHVNuCYEpMPfY8E_4KA&s,大書櫃上
44,9789866473203,光之逝,喬治.馬汀(George R. R. Martin)著; 宮中桂譯,蓋亞文化,99/01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRd2IGAgqHYY5SEQvfrFV4rxpxeOw9GioxnCg&s,大書櫃上
45,9789868804906,神經喚術士,威廉.吉布森作; 李家沂譯,開元書印,101/02,https://media.anobii.com/covers/01f58e77d826e20689/300/420/2.5/paperback/png/1331193750,大書櫃上
46,9789862620144,記憶之塵: 朱利安戰記,威爾森(Robert Charles Wilson)著; 龐元媛譯,貓頭鷹,99/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTghPqBq1GQ_ojFku4F6ytrVa5YLq_95E22DA&s,大書櫃上
47,9789862161272,時光旅人,"馬雷特(Ronald L. Mallett), 韓德森(Bruce Henderson)著; 陳可崗譯",天下遠見,97/05,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQwc-KyrIjTEAmVtxrUFgEp79Vv6hhr9bAKFA&s,大書櫃上
48,9789865723392,希特勒回來了,帖木兒.魏穆斯(Timur Vermes)著; 管中琪譯,野人文化,103/06,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUZsxHr0XxZ0nBw2QmoWEUNUgMgzVI-XBCAA&s,大書櫃上
49,9789861771762,曼谷的發條女孩,保羅.巴奇加盧比(Paolo Bacigalupi)著; 王寶翔譯,晨星,100/07,https://cdnec.sanmin.com.tw/product_images/986/986177176.jpg,大書櫃上
50,9789573322870,圖案人,雷.布萊伯利(Ray Bradbury)著; 王瑞徽譯,皇冠,95/12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsChq0gz8osZGWNDzIVx9RBlujbItEZ17svQ&s,大書櫃上
51,9789573323198,十月國度,雷.布萊伯利(Ray Bradbury)著; 林靜華譯,皇冠,96/04,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJoOR0gO6xBrUixGwIQ0sfZU80CX1ABl8ALQ&s,大書櫃上
52,9789573323488,闇夜嘉年華,雷.布萊伯利著; 王瑞徽譯,皇冠,96/09,https://www.crown.com.tw/images/large/005018.jpg,大書櫃上
