書名,ISBN,位置,url
龍鱗焰火,9.78987E+12,未知,https://cdn.cite.com.tw/images/1/1HB109.jpg
龍族秘錄,957-569-247-0,公關－會長－美工用具,https://upload.wikimedia.org/wikipedia/zh/9/90/小說《天外金球》封面.jpg
黑暗的左手,986-7399-03-X,艾波小姐,https://img1.doubanio.com/view/subject/m/public/s29630049.jpg
黃海童話,957-444-348-5,公關－會長－美工用具,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/034/34/0010343402_bc_01.jpg&v=45190f4dk&w=375&h=375
非理性時代 牛頓加農砲,978-986-6712-14-2,大書櫃,https://s.eslite.dev/Upload/Product/200804/o/633519136207607246.jpg
非理性時代 天使微積分,978-986-6712-41-8,大書櫃,https://media.taaze.tw/showProdImage.html?sc=11100153698&width=200&height=283
非法智慧,957-2009-18-4,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/upload/product/o/2680474809002/31786.jpg
霸海皇英,None,大書櫃,https://bookstore.emome.net/files/bookcnt/101229/0100266395/img/1492480790_large.jpg
離開太陽系,9.78957E+12,未知,https://s.yimg.com/zp/MerchandiseImages/2BCFCD2D36-SP-6692240.jpg
隱身新娘,957-0494-02-6,大書櫃,https://www.tianyashuku.com/d/file/kehuan/5f7a55d4a131e56abd73d14ace81486c.jpg
隱藏的邏輯,978-986-417-924-4,活動新聞福利,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/E05/010/69/E050106906.jpg&v=614c21bck&w=375&h=375
隱形人,986-7592-09-3,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/upload/product/o/2682196997005/20220713054111909356.jpg
隧道,978-986-6503-01-6,大書櫃,https://im1.book.com.tw/image/getImage?i=https://www.books.com.tw/img/001/042/35/0010423550.jpg&v=49479fb0k&w=348&h=348
阿努比斯之門,986-7600-62-2,艾波小姐,https://media.taaze.tw/showProdImage.html?sc=11100177936&width=200&height=283
阿伊朵,957-30577-5-1,大書櫃,https://img9.doubanio.com/view/subject/s/public/s1944516.jpg
關鍵報告,986-80402-1-3,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/Upload/Product/200902/o/633695385900247500.jpg
關鍵下一秒,978-957091682-9,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/Upload/Product/201106/o/634438098661596250.jpg
闇夜嘉年華,978-957-33-2348-8,公關－會長－美工用具,https://www.haodoo.net/covers/1731.jpg
閃憶殺手,978-986-2720-91-2,大書櫃,https://s.eslite.dev/Upload/Product/201409/o/635472306592083750.jpg
鋼穴,978-986-6651-34-2,1-2櫃（三大家）,https://s.eslite.dev/Upload/Product/200809/o/633564893434588750.JPG
鋼彈前哨戰 : 愛麗絲的懺悔,957-10-2102-4,活動新聞福利,https://patchwiki.biligame.com/images/gundam/thumb/a/a3/7xin4ktqnaq43e5v563fcwbfbjvcypp.jpg/265px-微信截图_20220611211306.jpg
馬借戰記,978-957-26-0264-5,2-2,https://upload.wikimedia.org/wikipedia/zh/thumb/7/7e/銃夢1991.jpg/200px-銃夢1991.jpg
銀翼殺手 試讀本,None,紅鎖,https://cdn.readmoo.com/cover/no/gdrezip_210x315.jpg?v=0
銀河英雄傳說外傳 黃金之翼,957-725-814-X,2-2櫃,https://cdn.suruga-ya.jp/database/pics_light/game/185214675.jpg
銀河英雄傳說,957-25-1062-2,2-2櫃,https://im2.book.com.tw/image/getImage?i=https://www.books.com.tw/img/CN1/118/49/CN11184917.jpg&v=5458ab66k&w=250&h=250
銀河滅,978-986-6815-50-8,大書櫃,https://s2.eslite.dev/unsafe/fit-in/x900/s.eslite.dev/Upload/Product/200902/o/633692543828750000.jpg
我機器人,978-7-5399-5771-5,活動新聞福利,https://www.2015txt.com/uploads/cover/8667s.jpg
第二基地,978-7-5399-5268-0,活動新聞福利,"https://piccdn3.umiwi.com/img/201903/08/201903081230162574658449.jpg?x-oss-process=image/resize,m_fill,h_320,w_240"
